product_id,seller_id,price_band,items,gmv,avg_price,avg_review,freight_ratio,months_active,velocity,score,reason
44afebe5ba695261a126f43a4b29d814,520b493b57809f446cb0a233bb3e25c7,中高价带(50-100),8,736.0,92.0,2.88,0.197,1,8.0,0.416,差评硬规则(均分<3.0且销量≥3)
97f1396a5a1f7c07ba51784efdec44b8,955fee9216a65b617aa5c0531780ce60,高价带(100+),15,2211.0,147.4,2.6,0.128,5,3.0,0.3525,差评硬规则(均分<3.0且销量≥3)
588ea3decc0d8e1d19ce6160c5b0da1b,955fee9216a65b617aa5c0531780ce60,高价带(100+),12,1971.0,164.25,2.75,0.147,5,2.4,0.3451,差评硬规则(均分<3.0且销量≥3)
7855801875dac05bda454284be8be7db,f76a3b1349b6df1ee875d1f3fa4340f0,高价带(100+),6,839.4,139.9,2.83,0.127,2,3.0,0.3319,差评硬规则(均分<3.0且销量≥3)
85fa36e792c259f4f0022c6966c50c1c,218f991754f360af9c2daa5e0b8e990c,高价带(100+),4,799.6,199.9,2.75,0.075,2,2.0,0.3101,差评硬规则(均分<3.0且销量≥3)
1d691d8ace0e9d0e00de0569faf0ae04,be3b4b0f050a6aa1b2d901c4b77e979f,中价带(25-50),6,239.4,39.9,2.0,0.457,1,6.0,0.3076,差评硬规则(均分<3.0且销量≥3)
953439fbf9090e2362532905d89b991f,7040e82f899a04d1b434b795a43b4617,高价带(100+),6,1019.4,169.9,2.83,0.139,5,1.2,0.3054,差评硬规则(均分<3.0且销量≥3)
c829cd4f5382dfc97d9cb71af8619e79,688756f717c462a206ad854c5027a64a,中高价带(50-100),5,310.0,62.0,2.0,0.284,1,5.0,0.2966,差评硬规则(均分<3.0且销量≥3)
d315b738a6e96f4d9710af966cb7cd5b,f8db351d8c4c4c22c6835c19a46f01b0,中价带(25-50),5,132.5,26.5,2.8,0.413,2,2.5,0.2962,差评硬规则(均分<3.0且销量≥3)
233284251960ee2c45f3bc9e68731630,8e6cc767478edae941d9bd9eb778d77a,中价带(25-50),4,134.4,33.6,2.5,0.834,1,4.0,0.2925,差评硬规则(均分<3.0且销量≥3)
8e1446d14972eb9ba34dd6273315f419,95e03ca3d4146e4011985981aeb959b9,低价带(<25),4,79.96,19.99,2.5,0.781,1,4.0,0.2924,差评硬规则(均分<3.0且销量≥3)
ac850a749748b386d598124ae34ba1b0,fffd5413c0700ac820c7069d66d98c89,高价带(100+),4,1194.4,298.6,2.75,0.276,8,0.5,0.2895,差评硬规则(均分<3.0且销量≥3)
cda185193c72c0eb8dde03f20f101230,febab0275244b9a49a623f0bd613ca2f,中高价带(50-100),9,625.5,69.5,2.78,0.207,9,1.0,0.2871,差评硬规则(均分<3.0且销量≥3)
cfa14c9ef22bd6c41e20df06de9dfa76,ce7d1888639e6fb06b2749cbfdac1ff7,高价带(100+),2,276.0,138.0,3.0,0.253,3,0.667,0.2851,综合分末位15%
60b84165fc418389757838f274b728e6,b19f3ca2ea475913750f25a5c37c8d8f,中高价带(50-100),2,139.8,69.9,3.0,0.342,2,1.0,0.285,综合分末位15%
87b92e06b320e803d334ac23966c80b1,7a241947449cc45dbfda4f9d0798d9d0,高价带(100+),1,109.0,109.0,3.0,0.329,1,1.0,0.2846,综合分末位15%
8dc2f396f9c1b21665f94a5caa0ee791,0bae85eb84b9fb3bd773911e89288d54,中高价带(50-100),1,54.16,54.16,3.0,0.274,1,1.0,0.2845,综合分末位15%
100260bf9206d859dc8db128c8c5afc9,4992e76a42cb3aad7a7047e0d3d7e729,中价带(25-50),4,100.0,25.0,3.0,0.549,3,1.333,0.2845,综合分末位15%
e06eb527f0a6ce904044687bd2faa582,994f04b3718c2bab35c2adfa8afecd2a,中价带(25-50),1,49.9,49.9,3.0,0.283,1,1.0,0.2842,综合分末位15%
7fe3f176f02fbc85e3f9d24e0f34e860,b33aaadd1a8891d2dfef0c4c3bdf0371,中价带(25-50),1,36.0,36.0,3.0,0.273,1,1.0,0.2841,综合分末位15%
363447257ff5d59bda202c8fd1e2c53e,7722b1df1b0e383e000397b2c11e3e19,中价带(25-50),1,39.9,39.9,3.0,0.275,1,1.0,0.2841,综合分末位15%
155a2d804e1562dedf47f5a300115c7c,b335c59ab742f751a85db9c411a86739,中价带(25-50),1,44.9,44.9,3.0,0.288,1,1.0,0.2839,综合分末位15%
3207053643b68f43eed19750c0ad8157,4c18691b6037662be2df78a765d98ab5,中价带(25-50),1,30.0,30.0,3.0,0.279,1,1.0,0.2838,综合分末位15%
0ae935aec15938b92f6667ec2fde2dc2,00720abe85ba0859807595bbf045a33b,中高价带(50-100),4,312.0,78.0,3.0,0.276,7,0.571,0.2838,综合分末位15%
d83cba631d40af7f65eeac52132ee096,0adac9fbd9a2b63cccaac4f8756c1ca8,中价带(25-50),1,49.9,49.9,3.0,0.303,1,1.0,0.2837,综合分末位15%
081476f0ad46b45e23bbd0f3d1d4dd98,6edacfd9f9074789dad6d62ba7950b9c,中价带(25-50),1,49.9,49.9,3.0,0.303,1,1.0,0.2837,综合分末位15%
6fd3f7378cd65325e10cb21733778416,870d0118f7a9d85960f29ad89d5d989a,中高价带(50-100),3,269.7,89.9,3.0,0.193,6,0.5,0.2835,综合分末位15%
d43c65f300c5cfaae005f1f954fc0b15,fffd5413c0700ac820c7069d66d98c89,中高价带(50-100),3,236.7,78.9,3.0,0.23,5,0.6,0.2835,综合分末位15%
66a4ac0f9c73e92afc9cb7566977ef83,f8db351d8c4c4c22c6835c19a46f01b0,中价带(25-50),2,79.8,39.9,3.0,0.342,2,1.0,0.2835,综合分末位15%
