seller_id,skus,gmv,avg_review,band,action
9de4643a8dbde634fe55621059d92273,3,13353.5,4.78,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
33a17d60c64393351ebf1ef860f4e0f2,9,7342.6,4.86,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
b410bdd36d5db7a65dcd42b7ead933b8,2,7279.0,4.92,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
e3b4998c7a498169dc7bce44e6bb6277,1,6735.0,5.0,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
b347677812ea483b0f528eaf8cbc09b7,8,5912.0,4.9,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
59b22a78efb79a4797979612b885db36,9,5469.0,4.94,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
aced59e9b31ef866a94f9e7f29d8d418,4,4635.0,4.96,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
ce7d1888639e6fb06b2749cbfdac1ff7,2,4380.0,4.86,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
32b8764b4ef628b53608fc34011fcc13,5,4194.0,4.87,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
a2e874074c877c5a05abae80ad6e488f,4,3273.85,4.79,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
5c030029b5916fed0986310385ec9009,5,3015.4,5.0,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
53e4c6e0f4312d4d2107a8c9cddf45cd,10,2972.06,5.0,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
ca3bd7cd9f149df75950150d010fe4a2,6,2843.12,4.72,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
f0837c8d71434931d9e38e7b79234797,2,2647.0,5.0,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
05feb94f19d094d4b0f9281f0b1d4c99,1,2626.0,5.0,高价带(100+),"机会带优质卖家,建议谈判扩充货盘/独家款"
